Word,aoa_Kuperman,cmu_MNphonemes,cmu_MNsyllables,fa_BCs,fa_CCs,fa_PR_scores,fa_degrees,wn_BCs,wn_CCs,wn_MNSyns,wn_NSigns,wn_PR_scores,wn_degrees
attention,6.78,7.0,3.0,0.0010397020529246276,0.03048780487804878,3.357528308734388e-05,41,8.952518760330005e-06,0.5,1.6666666666666667,6,6.6058691701397514e-06,4
attic,5.15,4.0,2.0,0.00042576164443007287,0.09881422924901186,1.8467458026853496e-05,23,1.0340055767623479e-08,0.3111111111111111,3.0,5,2.760107253846461e-05,10
attire,11.22,4.0,3.0,1.1066463844648933e-05,0.5714285714285714,1.3991142858269992e-05,7,5.0695905511114855e-06,0.7867647058823529,9.5,2,2.8074943973092801e-05,17
attitude,6.78,6.0,3.0,0.0005391732374832171,0.12535612535612536,3.4280559795245047e-05,27,4.47642350803433e-06,0.3333333333333333,1.75,4,4.9544018776043964e-06,3
attract,8.78,6.0,2.0,0.0011110637404641956,0.07692307692307693,1.5264353229747564e-05,27,4.0977620642179235e-05,0.6,2.6666666666666665,3,8.2573364626739596e-06,5
audience,7.0,6.0,3.0,0.0008970842349606839,0.11255411255411256,1.5378647665474976e-05,22,2.7375322589643355e-06,0.3333333333333333,1.75,4,4.9544018776046827e-06,3
aura,11.67,3.0,2.0,0.0004432039484619023,0.08771929824561403,1.1340002491584172e-05,19,5.441454275042134e-05,0.5238095238095238,3.3333333333333335,3,1.1560271047744627e-05,7
author,7.1,3.0,2.0,4.19256571726358e-05,0.3090909090909091,1.9863425104955648e-05,11,4.47642350803433e-06,0.3333333333333333,2.0,3,4.9544018776041643e-06,3
authority,7.5,7.0,4.0,0.00043853023587662635,0.11282051282051282,7.8442130120467995e-05,40,7.244776206472219e-05,0.26666666666666666,3.5714285714285716,7,2.9726411265628425e-05,16
average,8.9,5.0,2.3333333333333335,0.0005101620272444331,0.12169312169312169,7.677822162505761e-05,28,8.330263230682457e-05,0.07272727272727272,2.0,12,1.9817607510416054e-05,11
avoid,8.5,4.0,2.0,0.00047170448372666586,0.1422924901185771,1.85408550987806e-05,23,2.4920135482336736e-05,0.4583333333333333,4.2000000000000002,5,2.6423476680557176e-05,16
